Program Start at Thu Sep 15 15:10:53 2022

Starting N=59 with k=6
Starting... 0, 1, 2, 3, 18, 33, 
Starting... 0, 1, 2, 3, 18, 34, 
Starting... 0, 1, 2, 3, 18, 35, 
Starting... 0, 1, 2, 3, 18, 36, 
Starting... 0, 1, 2, 3, 18, 37, 
Starting... 0, 1, 2, 3, 18, 38, 
Starting... 0, 1, 2, 3, 18, 39, 
Starting... 0, 1, 2, 3, 18, 40, 
Starting... 0, 1, 2, 3, 18, 41, 
Starting... 0, 1, 2, 3, 18, 42, 
Starting... 0, 1, 2, 3, 18, 43, 
Starting... 0, 1, 2, 3, 18, 44, 
Starting... 0, 1, 2, 3, 18, 45, 
Starting... 0, 1, 2, 3, 18, 46, 
Starting... 0, 1, 2, 3, 18, 47, 
Starting... 0, 1, 2, 3, 18, 48, 
Starting... 0, 1, 2, 3, 18, 49, 
Starting... 0, 1, 2, 3, 18, 50, 
Starting... 0, 1, 2, 3, 18, 51, 
Starting... 0, 1, 2, 3, 18, 52, 
Starting... 0, 1, 2, 3, 18, 54, 
Starting... 0, 1, 2, 3, 18, 53, 
Starting... 0, 1, 2, 3, 18, 55, 
Starting... 0, 1, 2, 3, 18, 55, 
Starting... 0, 1, 2, 3, 18, 56, 
Starting... 0, 1, 2, 3, 18, 57, 
Starting... 0, 1, 2, 3, 18, 58, 
Starting... 0, 1, 2, 3, 19, 21, 
Starting... 0, 1, 2, 3, 19, 24, 
Starting... 0, 1, 2, 3, 19, 26, 
Starting... 0, 1, 2, 3, 19, 28, 
Starting... 0, 1, 2, 3, 19, 29, 
Starting... 0, 1, 2, 3, 19, 30, 
Starting... 0, 1, 2, 3, 19, 32, 
Starting... 0, 1, 2, 3, 19, 33, 
Starting... 0, 1, 2, 3, 19, 35, 
Starting... 0, 1, 2, 3, 19, 39, 
Starting... 0, 1, 2, 3, 19, 41, 
Starting... 0, 1, 2, 3, 19, 43, 
Starting... 0, 1, 2, 3, 19, 44, 
Starting... 0, 1, 2, 3, 19, 46, 
Starting... 0, 1, 2, 3, 19, 47, 
Starting... 0, 1, 2, 3, 19, 51, 
Starting... 0, 1, 2, 3, 19, 56, 
Starting... 0, 1, 2, 3, 19, 57, 
Starting... 0, 1, 2, 3, 20, 29, 
Starting... 0, 1, 2, 3, 20, 30, 
Starting... 0, 1, 2, 3, 20, 33, 
Starting... 0, 1, 2, 3, 20, 44, 
Starting... 0, 1, 2, 3, 20, 47, 
Starting... 0, 1, 2, 3, 20, 57, 
Starting... 0, 1, 2, 3, 21, 22, 
Starting... 0, 1, 2, 3, 21, 25, 
Starting... 0, 1, 2, 3, 21, 27, 
Starting... 0, 1, 2, 3, 21, 29, 
Starting... 0, 1, 2, 3, 21, 30, 
Starting... 0, 1, 2, 3, 21, 31, 
Starting... 0, 1, 2, 3, 21, 33, 
Starting... 0, 1, 2, 3, 21, 34, 
Starting... 0, 1, 2, 3, 21, 36, 
Starting... 0, 1, 2, 3, 21, 40, 
Starting... 0, 1, 2, 3, 21, 42, 
Starting... 0, 1, 2, 3, 21, 44, 
Starting... 0, 1, 2, 3, 21, 45, 
Starting... 0, 1, 2, 3, 21, 47, 
Starting... 0, 1, 2, 3, 21, 48, 
Starting... 0, 1, 2, 3, 21, 52, 
Starting... 0, 1, 2, 3, 21, 57, 
Starting... 0, 1, 2, 3, 21, 58, 
Starting... 0, 1, 2, 3, 22, 24, 
Starting... 0, 1, 2, 3, 22, 28, 
Starting... 0, 1, 2, 3, 22, 33, 
Starting... 0, 1, 2, 3, 22, 35, 
Starting... 0, 1, 2, 3, 22, 39, 
Starting... 0, 1, 2, 3, 22, 46, 
Starting... 0, 1, 2, 3, 22, 51, 
Starting... 0, 1, 2, 3, 23, 29, 
Starting... 0, 1, 2, 3, 23, 30, 
Starting... 0, 1, 2, 3, 23, 33, 
Starting... 0, 1, 2, 3, 23, 44, 
Starting... 0, 1, 2, 3, 23, 47, 
